policy_id,policy_name,category,subcategory,region_scope,age_min,age_max,employment_condition,housing_condition,income_condition_text,apply_start_date,apply_end_date,apply_status,source_org,source_url,summary,source_type
20260417005400112768,벤처기업 공동채용 지원사,취업,취업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.venture.or.kr/home/kor/M748473882/business/contents/index.do?idx=cb00d1a0008a85e71a41b8741facbffe71a547009cdc82b6a17d02db013fb623&idx2=cb00d1a0008a85e71a41b8741facbffe6345b0b94089980f84385e748ce0fc81,"채용수요가 있는 벤처기업들이 합동으로 취업포탈 사이트에 취업 공고 게시 및 채용박람회 등을 통해 벤처기업이 우수 인재채용을 지 벤처기업 공동채용을 통한 입사자 등 벤처 신입직원을 대상으로 벤처이해를 포함한 기초소양 및 직무역량 향상 교육 실시 벤처,중소기업,장기미취업청년 벤처기업 공동채용 지원사",api
20260417005400112767,참 괜찮은 강소기업 선정 및 취업연계,취업,취업지원,all,0,0,job_seeking,unknown,,,,always,중소벤처기업부,https://www.smes.go.kr/gsmb/main,"구직자들이 선호할만한 우수 중소기업을 발굴하고 채용 정보 제공 및 매칭 지원을 통해 중소기업 일자리 미스매치 완화 기업정보 제공 및 매칭지원 벤처,장기미취업청년,중소기업 참 괜찮은 강소기업 선정 및 취업연계",api
20260417005400112766,스타트업 원스톱 지원센터,취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.k-startup.go.kr/onestop/main/index.do,"기술창업 기반의 창업가가 직면하는 법률, 세무, 경영 등 복합적인 애로해결 가이드, 전문가 매칭, 상담비용 지원 등 '원스톱'으로 상담 서비스를 지원합니다. 상담분야별 정보 제공과 전문가 매칭 및 상담 지원 벤처,중소기업 스타트업 원스톱 지원센터",api
20260416005400112764,2026년도 창업중심대학 대학발 (예비)창업기업 모집 공고,취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.k-startup.go.kr/web/contents/bizpbanc-deadline.do?pbancClssCd=PBC010&schStr=%EC%B0%BD%EC%97%85%EC%A4%91%EC%8B%AC%EB%8C%80%ED%95%99&schM=view&pbancSn=176498,"대학의 창업 인프라를 활용하여 우수한 창업아이템을 보유한 대학발 (예비)창업기업의 사업화를 지원 사업화자금 (평균 0.7억원 내외, 최대 1.5억원), 창업프로그램 등 벤처,중소기업 2026년도 창업중심대학 대학발 (예비)창업기업 모집 공고",api
20260416005400112763,재도전성공패키지,취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.k-startup.go.kr/web/contents/webCMRCZN.do?schM=view&id=170007,"성실한 실패 경험과 우수한 아이템을 바탕으로 성장 가능성이 높은 (예비)재창업기업을 발굴하고, 패키지형 재창업 지원 사업화 자금, 심리치유, 실패원인분석, 맞춤형 멘토링, 투자연계 등 중소기업,벤처 재도전성공패키지",api
20260416005400112762,예비창업패키지,취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.k-startup.go.kr/web/contents/bizpbanc-deadline.do?schM=view&pbancSn=176458,"혁신적인 기술과 사업모델(BM)을 보유한 예비창업자를 발굴ㆍ지원 창업사업화에 소요되는 자금 평균 0.4억원, 창업프로그램 등 ※ 사업화 자금(정부지원사업비)을 사업단계별(총 2단계)로 차등 지원(상세내용은 [별첨4] 참조) - 1단계 : BM 구체화를 위한 시장조사 및 최소기능 제품(MVP) 제작 등 사업화 준비 자금 지원(20백만원) - 2단계 : 협약 중간 시점에 1단계 사업계획의 진척도 및 향후 추진계획 등을 평가 평가 결과에 따라 50% 내외 선정하여 추가 정부지원사업비 지원 벤처,중소기업 예비창업패키지",api
20260416005400112761,올해의 K-스타트업(舊. 도전! K-스타트업),취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?pbancClssCd=PBC010&schStr=%EA%B2%BD%EC%A7%84%EB%8C%80%ED%9A%8C&schM=view&pbancSn=176910,"범부처 협업 창업경진대회를 통해 다양한 분야에서 유망 창업 아이템을 보유한 창업자(팀)를 발굴·시상하여 기술창업 분위기 확산 시상(대통령상, 국무총리상, 장관‧청장상) 및 상금, 정부지원사업 후속 연계 중소기업,벤처 올해의 K-스타트업(舊. 도전! K-스타트업)",api
20260416005400112760,글로벌 액셀러레이팅 지원사,취업,창업지원,all,0,0,unknown,unknown,,,,always,중소벤처기업부,https://www.kised.or.kr/menu.es?mid=a10208020000,"국내 창업기업의 글로벌 진출을 지원하고 해외 인재의 국내창업을 유도하여 국내 창업 생태계의 글로벌화 도모 해외 진출을 희망하는 창업기업의 비즈니스 현지화, 멘토링 등 액셀러레이팅 프로그램 및 해외진출자금 평균 3천만원 지원 벤처,중소기업 글로벌 액셀러레이팅 지원사",api
20260416005400112758,모두의 창업,취업,창업지원,all,0,0,all,all,,,,always,중소벤처기업부,https://www.modoo.or.kr/,"창의적 아이디어를 가진 국민 누구나 도전 할 수 있는 기회를제공하고 실패에 대한 부담을 완화하여 혁신 인재의 창업을 촉진하기위한「모두의 창업 프로젝트」도전자를 모집합니다 창업활동자금, 사업화자금, 멘토링, AI솔루션 등 BM 고도화 프로그램 제공 벤처,중소기업 모두의 창업",api
20260415005400212750,2026년 미취업청년 자격증 응시료 지원사업(중랑구),취업,자격증지원,서울,19,39,job_seeking,unknown,,,,always,서울특별시 중랑구,https://www.jungnang.go.kr/health/bbs/view/B0000117/164097?menuNo=400493,"미취업 청년의 자격증 취득 비용을 지원하여 경제적 부담을 완화하고 취업역량을 강화하여 청년들의 구직활동을 촉진하고자 함 □ 신청기간 : 2026. 1. ~ 12. ※ 예산 소진시 조기 마감 □ 대 상 : 주민등록상 중랑구 거주 19 ~ 39세(1987.1.1.~2007.12.31.출생자) 미취업 청년 □ 지원내용 : 자격증 응시료 실비 (1인 생애 10만원 이내) □ 대상 시험종류 - 어학(토익, 토스, 토플, 오픽, 아이엘츠, 텝스, 지텔프, HSK, JPT, JLPT 등) - 한국사능력검정시험 - 국기기술자격증, 국가전문자격증(",api
20260415005400212748,2026년 중랑구 청년 창업 아카데미,취업,창업지원,서울,19,39,unknown,unknown,,2026-05-21,2026-06-18,unknown,서울특별시 중랑구 기획경제국,https://www.instagram.com/jn_youth_,"창업 아이디어 발굴부터 비즈니스 모델 구축까지 단계별 창업 교육 및 멘토링을 통해 지역 청년 창업가를 양성하고자 함 □ 사업기간 : 2026. 5. ~ 6. * 모집기간 : 4월말~5월초 예정 □ 대 상 : 중랑구 거주 또는 활동하는 19~39세 청년 예비 및 초기 창업가 20팀 □ 장 소 : 중랑청년청(중랑구 중랑역로 159) □ 주요내용 : 창업 교육·전문가 멘토링(5회), 모의 창업대회·네트워킹데이(2회) 개최 장기미취업청년 2026년 중랑구 청년 창업 아카데미",api
20260326005400212295,2026년 평택시 우수초기창업자 지원사업 운영,취업,창업지원,경기,19,39,unknown,unknown,,2026-03-02,2026-11-30,open,경기도 평택시 기획항만경제실,https://www.pyeongtaek.go.kr/pyeongtaek/saeol/gosi/view.do?notAncmtMgtNo=117174&mid=0401020100,"창의적인 창업 아이템을 가진 청년창업자를 발굴 선정하여 지속가능성을 갖춘 기업으로 성장할 수 있도록 지원 창업 사업화 자금 1인당 최대 10,000천원 지원 보조금 2026년 평택시 우수초기창업자 지원사업 운영",api
20260326005400212293,2026년 평택시 청년창업 금융지원사업 이차보전 지원,취업,창업지원,경기,19,39,unknown,unknown,,2026-01-01,2026-12-31,open,경기도 평택시 기획항만경제실,https://www.pyeongtaek.go.kr/pyeongtaek/saeol/gosi/view.do?notAncmtMgtNo=115172&mid=0401020100,"이자 상한 부담의 어려움을 겪는 청년창업자의 융자 이자 차액 지원으로 창업을 활성화 하고 고물가, 고금리로 경영난을 겪고 있는 청년 창업자의 자금난 해소 (사업대상) 경기신용보증재단을 통해 특례보증을 지원 받은 관내 청년창업자 (지원내용) 약정 이자율 중 대출이자 2% 1년간 지원 대출 2026년 평택시 청년창업 금융지원사업 이차보전 지원",api
20260326005400212292,2026년 평택시 청년창업자 금융지원사업,취업,창업지원,경기,19,39,unknown,unknown,,2026-01-01,2026-12-31,open,경기도 평택시 기획항만경제실,https://www.pyeongtaek.go.kr/pyeongtaek/saeol/gosi/view.do?notAncmtMgtNo=115172&mid=0401020100,"자금력 및 담보력이 부족한 청년창업자 대상 특례보증을 통한 신용대출 지원으로 청년일자리 기반구축 및 창업생태계 조성에 기여 (사업대상) - 예비 청년창업자 및 창업 7년 이하 청년 사업자 - 사업장 소재지가 평택시로 되어 있는 자 (보증한도) 업체당 5천만원 이내(보증액 20억원, 출연금 2억원) (상환기간 및 금리) 최장 5년(개인의 신용도에 따라 상이함) 대출 2026년 평택시 청년창업자 금융지원사업",api
20260326005400212291,2026년 평택시 청년창업자를 위한 크라우드 펀딩사업 지원,취업,창업지원,경기,19,39,unknown,unknown,,2026-03-30,2026-11-30,open,경기도 평택시 기획항만경제실,https://www.pyeongtaek.go.kr/pyeongtaek/board/post/view.do?idx=335735&bcIdx=90&mid=0402010000,"아이디어는 있지만 판로개척이 어려운 청년 창업자를 위하여 크라우드 펀딩 민간 기업과 연계하여 마케팅 지원 -청년창업자 대상 크라우드 펀딩 교육 -펀딩 콘텐츠 제작 지원(펀딩페이지 디자인,사진촬영 등) -펀딩 프로젝트 오픈 벤처 2026년 평택시 청년창업자를 위한 크라우드 펀딩사업 지원",api
20260326005400212290,2026년 평택시 청년창업도전 아카데미,취업,창업지원,경기,19,39,unknown,unknown,,2026-03-30,2026-11-30,open,경기도 평택시 기획항만경제실,https://www.pyeongtaek.go.kr/pyeongtaek/board/post/view.do?idx=344708&bcIdx=41&mid=0401010000,예비창업자부터 청년ceo까지 단계별 교육과정 수요를 반영하여 청년(예비)창업자의 역량강화를 위한 교육프로그램 제공 창업을 준비하는 청년에게 필요한 실무교육과 창업에 관심있는 청년들이 쉽게 도전할 수 있도록 맞춤형 창업 특강을 제공 교육지원 2026년 평택시 청년창업도전 아카데미,api
